district,total_population,white_population,age25_population,college_population,white_age25_population,white_college_population,nonwhite_share,college_share,white_college_share,source_population_coverage,allocation_method,census_vintage,cycle,chamber
14,47361.68063356794,44771.67022605449,30695.675321042836,2939.744095758509,29189.736583999795,2811.5348115791235,0.05468577915450412,0.09577062778427368,0.0963192937177875,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
15,45331.016088939316,41376.137086066636,29891.083713974003,5707.112532738535,27585.341203461834,5431.419438144385,0.08724443756374711,0.19093026493617812,0.19689513347265636,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
16,37408.62649386552,31505.584224104965,24174.04520248801,1746.2172186778191,20888.00891156084,1659.656231025439,0.15779895770106855,0.07223520945919705,0.07945497524691655,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
17,40583.645146164454,39447.55010307929,26441.434036760704,1570.631981609851,25766.012079777534,1529.660604529154,0.027993913286828986,0.0594004084432883,0.059367379002733166,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
18,39717.7824816171,37324.96607434493,26190.18134667334,1782.1582099695827,24706.282636754957,1687.0474638946193,0.060245468346065256,0.06804680679295683,0.06828414815366997,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
19,39667.36089185926,16571.30688571778,23509.292286083386,5430.173631033918,11683.065554227622,2910.7546011024565,0.5822432722233701,0.23097988510051307,0.24914305133289044,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
20,42208.81273359047,37734.710485311494,29140.44653816304,11439.537067003948,26770.054140867505,10758.34492411299,0.105999244198556,0.39256560643373983,0.40187983436645963,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
21,37659.539269014866,26530.944685926555,24074.298149251554,4585.510509147088,18358.03031431023,3531.6448238822554,0.29550533009957936,0.19047327904301323,0.19237602092471276,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
22,41203.51275724924,37884.71806986748,26141.117234842593,2475.868879341047,24365.256442245787,2304.724820440391,0.08054640163654159,0.09471167039643764,0.0945906243959877,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
23,33925.49558244031,31821.85390757179,22045.076969989885,2017.8171777362038,20957.002903322504,1908.9201027622603,0.0620076918185789,0.09153141903215273,0.09108745709338151,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
24,38244.504048660245,37401.66318477618,24790.081623293278,1929.932976338981,24383.38073337008,1892.474490374714,0.02203822182689774,0.07785101338777262,0.07761329370478771,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
25,42298.19472069783,41241.731894836026,27910.650710779995,3372.493424468374,27324.512237075392,3329.096097579902,0.024976546465819816,0.12083177348372634,0.12183551781988637,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
26,38985.22031547811,38347.77529364689,25612.087702691228,2368.764618966638,25230.00087124546,2333.738221753406,0.01635094060448694,0.09248619817578309,0.09249853908697875,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
27,39267.35502016759,38272.30055369057,25253.256765318805,1773.6442198119134,24769.614861755832,1752.6149421876883,0.02534050144110711,0.0702342765645864,0.07075664890105811,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
28,35035.205225014295,28761.21472746878,22813.481771915882,1835.7960134095895,19358.2081757032,1569.0218276921241,0.1790767445845025,0.08046978675870127,0.08105201749309777,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
29,37004.889768268076,29124.92588123772,24670.22260675623,2092.727641541111,20191.03880326487,1898.9698758087686,0.21294385516012193,0.08482808099866894,0.09405013255195702,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
30,41705.12866821533,39646.74608140359,26895.971548190475,3203.1428268823784,25778.415200075622,3103.3268437088514,0.04935562249878622,0.11909377659562112,0.12038470245834769,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
31,36565.23587230747,27390.327476731767,24027.438969331368,2435.226032345449,18857.81521085737,2253.6569668493594,0.25091888994279077,0.10135187672118416,0.1195078508114672,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
32,37858.248105023034,18471.629194185134,23341.093817515604,1736.7403656953077,12747.038389629144,970.7238485238711,0.512084417035285,0.07440698277781757,0.07615289284086896,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
33,36871.25122136842,27014.848989688442,23251.394077907324,2444.6287796871634,17991.386237937233,2162.2632092402587,0.2673194400836547,0.10513901968613425,0.12018324661836445,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
34,40446.8111657785,36649.18153615905,24433.28108770765,3871.806814706859,22580.856146711547,3565.323112599854,0.09389194154402392,0.15846446495697047,0.15789140542038627,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
35,35162.20760962366,29073.298259320858,22476.332318237255,2326.7137389694444,19063.483866760376,2048.887727279493,0.17316629882579704,0.10351839019044727,0.10747708769287397,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
36,39826.004810688515,32636.99758768202,25051.93881582879,4593.74638678526,21333.36936796729,4166.615848347964,0.18051037901439482,0.18336889693674138,0.19530978798896464,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
37,44649.71090562303,32027.944049756035,28761.479284060537,2342.0700422128384,21967.42641036332,2051.2971864370566,0.28268417868473716,0.08143079217454582,0.09337903986191753,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
38,36320.498606313005,27233.637288852606,23398.341522775023,2385.3208598319416,18309.21870694433,2163.5294113306027,0.25018547834255167,0.10194401417340473,0.1181661241781998,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
39,38201.38058042856,35539.108993074435,24886.006323177702,1600.3303320981988,23336.97467075991,1520.1980749848074,0.06969045481874725,0.06430643435976802,0.06514118031286811,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
40,41445.397691569946,35654.98245686953,25544.482269809872,6362.4563519967305,22584.340615028454,6092.551311992914,0.13971189944398077,0.24907360755227734,0.26976883743679925,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
41,39167.75828024119,34899.76130415264,24350.720500177646,3426.826413328255,22129.19728260915,3271.420215147458,0.10896709853935171,0.14072792685141516,0.14783275567426005,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
42,38105.75868095844,33281.46539587749,23779.607480504223,2096.3158368270056,21174.980371778147,1921.5310767893227,0.12660273544144562,0.088156031950724,0.09074535338650537,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
43,39766.301452479216,35106.66639569101,27354.612489613737,10322.71603349708,24731.989809801653,9654.136424281392,0.11717546984741523,0.37736656066381885,0.39035016990243604,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
44,35583.18358103963,33949.48950226982,22681.249699787008,3900.1386444641107,21749.587956548883,3702.1628696996513,0.04591197060963148,0.17195431010579348,0.1702176095057891,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
45,38547.1165803767,34723.248416869465,27407.848477402305,4842.00929864249,25249.49333969354,4278.753792887942,0.09919984950194338,0.17666506375481142,0.16945899608058726,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
46,38390.05243905239,37374.418127951925,25364.104596794365,12765.579875111758,24782.512413727483,12519.405203549939,0.026455663552762188,0.5032931411552818,0.505170944517119,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
47,34430.91566659735,31888.578239241826,22698.427491895578,10508.901688042764,21192.351963948036,10064.788605775884,0.07383879801436521,0.46297928311531467,0.4749255119440203,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
48,39008.57861327209,36976.482901913725,27193.656715213558,12538.699935041783,25954.943842660687,11903.050190362203,0.05209355950916328,0.46108914539716817,0.4586043515454588,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
49,36049.7056976594,32601.097511949556,23177.420843113545,2260.3457687989144,21021.979271183453,2129.6635371961415,0.09566258916598469,0.09752361076320994,0.10130651874989934,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
50,39399.11115341242,37392.35062497271,24882.698021895307,2816.554317312405,23962.09176432296,2728.0022385555467,0.05093415738811424,0.11319328453988403,0.1138465817336221,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
51,47287.65121516107,42469.680074389966,31285.147198333034,2407.5869658972993,28397.415767228707,2140.6916644158537,0.1018864548558166,0.07695622944122132,0.0753833264957251,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
52,38159.50891655081,11663.39702717419,24039.906624418247,4958.456652642913,8160.1442775376745,2693.2527343890906,0.6943514904062233,0.20625939734750964,0.33004964652436025,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
53,34886.43250844981,11926.194940492374,22118.582891797512,5924.089716660987,8867.738366650927,3896.660415669043,0.6581423182893882,0.26783314942196795,0.4394198672260436,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
54,40064.43634406431,12413.215378820269,26206.53282896594,4568.589722448705,9321.51924843576,3168.3411487037342,0.6901687253948019,0.1743301852353039,0.3398953608592733,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
55,34191.689407600265,14147.239342330693,21911.50103474919,2107.184275060684,10374.049160109358,673.9171272846312,0.5862374867272282,0.09616795634944977,0.06496182126030402,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
56,35499.940388009905,14623.746297213129,22424.79767738895,1348.5667102543853,10453.794830862871,662.1293478726924,0.5880627928560609,0.06013729665058039,0.06333865917454966,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
57,38861.89845548875,14279.034378680955,25248.12857082341,2451.439963219442,10709.836160950983,702.5899759937816,0.6325698191241035,0.09709392743081606,0.06560230851667809,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
58,31877.02592234494,13791.817153871989,20233.589228704062,1484.892699430136,10040.399460267829,662.0967203012859,0.5673430392323928,0.07338750839735425,0.06594326479950872,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
59,36130.90160160525,12302.29934688146,22725.349975093835,1256.093513102032,8773.686805021265,501.8332872764554,0.6595075461295744,0.05527279071515577,0.05719753832439647,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
60,33832.81232316568,10178.434269503998,21181.313438772588,2930.0662900692,7343.793231044295,842.5378855161752,0.6991549454334094,0.13833260616906254,0.11472788775622506,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
61,33276.632915726084,22878.105485083397,21036.66104971639,2085.099442402112,15552.173224886206,1832.5310761080943,0.3124873678468979,0.0991174139980842,0.11783118986713208,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
62,36427.393217498065,31370.49567242534,22931.76650019688,3723.301340153795,20125.02611352714,3226.076949437147,0.13882128525857906,0.16236434904052544,0.16030175221828522,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
63,36448.23437087576,28951.166325726772,20878.78312330834,6619.51631938035,17014.814482367205,5982.349898916089,0.20569084276794436,0.31704512089071674,0.3515965398926752,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
64,37896.99084449348,26244.05980345473,23151.693808895256,2305.7888847045156,17190.28250150576,2037.0611664281764,0.3074896127994803,0.0995948246265504,0.11850073820774863,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
65,36675.34604883425,24088.484448273786,22287.63222901419,1933.6618766351403,15676.1466836994,1585.379329565647,0.3431968053907578,0.08675941242954853,0.10113322881918292,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
66,40383.315385649046,28397.489451260233,25566.020493782184,1946.4573380996167,18785.774862822655,1586.6705767234423,0.29680143445201623,0.07613454501348801,0.08446127925569301,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
67,32978.84715091512,12065.759810223743,19683.492116083682,2609.5759517039346,8516.198878348638,1871.063226235565,0.6341363979459502,0.1325768789559252,0.2197063799193919,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
68,39122.83733129986,18468.985764682777,23299.325516566078,2048.4284167051655,12410.578507226579,1555.7733940693074,0.5279231511691296,0.08791792772064197,0.1253586521501309,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
69,40252.26814992597,15065.239915123866,22734.794266119534,2168.247330538048,10455.915458421308,1505.156419950529,0.625729415817986,0.09537131962391553,0.14395261954210423,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
70,40674.81860823714,17877.990326441373,21484.638544463578,3545.3587831461314,9248.650556859764,2151.84758227978,0.5604653950977703,0.16501831184214838,0.23266611372658527,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
71,37149.101068025084,12427.671929177804,21519.871129176554,2573.0900713709048,8344.9197653948,1621.262546236057,0.6654650698970874,0.1195680985227797,0.19428138218406882,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
72,40365.05491909596,17393.33293460947,23706.520839351157,2352.056727123982,11589.13617665234,1601.631008407815,0.5690992377076884,0.09921560160863982,0.1382010690006807,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
73,40134.970396666235,33232.46725337074,26762.68110758235,10874.094545491955,23328.898431874844,9684.28105302205,0.17198226571680342,0.40631558930062234,0.4151195171646073,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
74,39875.26264316994,34832.1838780732,26851.805393219445,6568.879366562461,24160.35169903308,5986.426704390742,0.1264713617117842,0.24463455139672727,0.24777895532995592,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
75,40818.54176274307,30696.284069100675,24798.23899786497,6643.496894370392,19402.917624702717,5633.834146290504,0.24798185472861356,0.2679019625120304,0.2903601538315979,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
76,35215.276810273324,12819.34235571912,20881.69615570894,3403.9523313081054,8750.102237651867,1718.888430029288,0.6359721258252514,0.16301129496022684,0.1964420967143534,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
77,35709.71851093512,12001.227610645872,20859.366946763108,2678.819870715112,8328.918070747714,1479.22253053596,0.6639226487609857,0.1284228748433232,0.17760080216555252,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
78,36233.38116781202,9685.820924176833,19961.756226658137,2611.6669735169617,6397.8762170392065,1010.77984106748,0.7326823881183562,0.13083352706357487,0.15798677667059433,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
79,35497.63716205666,28762.56837600612,14675.276307913464,6434.597487867535,11296.790394770795,5534.223270715286,0.18973287588982513,0.4384651677323279,0.4898934190437878,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
80,39941.58944081738,32652.737304386912,25656.343303873135,2728.561222552225,21348.13985088269,2499.238184180174,0.18248778374807972,0.10635035516305692,0.11707053643256121,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
81,38800.32094322132,28438.63909306154,25144.256854821768,2900.571541594796,19560.662420767163,2717.6064069318036,0.2670514469538179,0.11535721888072308,0.13893222777806213,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
82,43289.164065267825,11391.606311968779,24414.364342498015,4497.898687811686,7405.573453551252,1877.4776589244482,0.7368485495632705,0.18423165251049384,0.25352225194986444,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
83,40294.08671151043,17534.54735832144,23890.164010066776,2422.062141045812,10909.763482586503,1872.9527652603845,0.5648357168667999,0.10138323621492133,0.1716767525024605,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
84,36859.052454027464,21726.31596587706,23160.086702332897,2460.7719636481825,14881.702888158361,2148.0992886882896,0.41055685050571344,0.1062505505819333,0.1443449922923519,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
85,31228.709736691075,18751.148627085662,17673.21805700301,2389.678894075561,11035.099489652008,1961.6778949666634,0.399554167136958,0.13521470093154037,0.17776712360465768,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
86,42220.56251733193,33461.4758833918,26593.12103098977,3116.138712679888,22084.43499126622,2716.1790988073853,0.20746020686826327,0.11717837515380602,0.12299065381937817,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
87,37611.51121128818,33625.05051059589,24381.929570378128,3187.1407417627624,22274.55655496142,3050.928286302288,0.10599044208295083,0.13071733033118324,0.1369692042476476,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
88,39026.92591918081,30908.031054035593,23698.19055884011,3371.801308436068,19381.326552703416,3075.027199305083,0.20803316361525082,0.14228096023045478,0.15865927396368856,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
89,36454.312220313295,25672.70463520649,21576.22615315781,2878.4841709251623,15930.130615802289,2538.345248944575,0.2957567137722328,0.13340999257666192,0.15934240027050375,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
90,36666.35245635782,23512.36985994887,22954.80724632383,1884.1053232398212,16016.176776561182,1596.5390094425798,0.3587480541476138,0.08207889977126935,0.09968290383626567,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
91,40236.27829219064,32663.205749514367,25969.285701170196,4273.898881279694,21680.453605823535,3870.8236211759245,0.1882150353887504,0.1645751419757806,0.17853978941363993,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
92,36479.197413660695,31496.205421357787,24090.396902527435,2198.1440618620677,21427.041754737933,2064.1041408473952,0.13659818048619898,0.09124565571733897,0.09633173652592439,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
93,38580.76945153482,30203.02328545391,23828.77965206216,3583.640114129462,19568.900764600807,3227.8062819228753,0.21714823952915296,0.15039125655850913,0.1649457126259141,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
94,40542.82213980857,34606.50611471332,27234.274214039502,6655.529577006604,23857.90110593312,6316.265026782721,0.14642088813216703,0.24438064788139724,0.26474520951098907,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
95,42125.45103238372,37585.50644211384,27952.50856909565,3369.3065208567887,25789.83587823251,3303.457854024752,0.1077720114327042,0.12053682096289206,0.12809146477791206,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
96,36929.43769112888,30772.01398989318,23452.075340370717,1800.878614276541,19940.85782728263,1590.8380196050837,0.16673483503148012,0.07678973345171224,0.07977781263895954,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
97,34221.02534860651,11361.803441920429,20912.974939376672,2689.1096030727304,8494.940493512542,1862.8371887745413,0.667987638412971,0.12858570389282364,0.2192878443583168,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
98,35573.79798718238,12337.340797435712,20179.749717139097,1193.873423083815,7936.828896898188,484.64554025140535,0.6531902272037136,0.05916195392997528,0.06106286862764686,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
99,36736.1582230584,13884.535816964803,22686.763510121113,2846.7147072606263,9362.384462715523,1403.6417640128486,0.6220471467740518,0.125479101767453,0.1499235338607028,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
100,39516.358317160404,34245.91621819757,23656.89739706793,8230.682194228904,20922.03772972952,7400.496455776389,0.13337367924093568,0.34791892005453884,0.3537177664707358,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
101,41031.31747031894,34605.915359584804,27780.929515745214,8132.278159844805,24439.063350176035,7466.294968804518,0.15659750909490344,0.2927287999933813,0.3055065925327592,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
102,41422.52110794531,37991.989649868694,24739.653232306355,3055.75584409378,22902.453447387485,2867.915058950028,0.08281802667531502,0.1235165188210242,0.12522304937933082,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
103,36189.91425821054,12408.635378874724,21623.38998303476,2322.456500204556,9225.894936573504,1466.127224028976,0.6571244880454634,0.10740482884629583,0.1589143637672396,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
104,39478.13295408477,34838.33314801345,25050.922145825105,4331.862927916674,22510.39022633943,3955.593833205547,0.11752834946545376,0.17292229414551138,0.17572302360965306,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
105,37470.996430614076,32231.512737852197,22126.807149603745,1474.3606858595479,19395.592574527593,1383.5819515362891,0.13982771188014587,0.0666323286451182,0.07133486364079228,0.9999676745325936,1990_sf3_tract_area_interpolation_provisional,1990,1998,house
1,119429.33188966884,103192.23150199928,77849.12114818598,11892.585232301604,68835.46409976172,11029.369938925098,0.13595571649575766,0.1527645406511917,0.16022801739144918,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
2,115016.09788300861,98111.25402628245,74625.19634186162,18340.760390281703,64796.70147178795,16606.733711617628,0.14697806800854374,0.24577168690132212,0.2562898007832712,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
3,119660.45858028988,102359.36272754183,76362.14343290021,9048.425898175354,67356.83634014719,8412.96615266954,0.1445849034678348,0.11849360810735034,0.12490144445301239,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
4,118585.34667505392,113372.80570280462,76059.1529950875,15056.188423310783,73326.09751520859,14122.589618387203,0.04395602929367526,0.19795366935368358,0.19259977139050707,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
5,132143.98471703392,122596.51107886361,86356.79516439313,11122.870540018357,80825.18703012775,10602.185621212548,0.07225053534305603,0.12880133542293112,0.13117427884528818,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
6,117710.0833999767,108278.12967985882,76805.68031356661,5099.007837262546,71360.3233557379,4876.364726454504,0.08012868097347514,0.06638842096633157,0.06833439784381819,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
7,119531.96584312194,80833.70555144573,76721.6494427786,21454.680030842865,56809.07511648782,17200.280086499293,0.3237482126117226,0.2796431018710623,0.3027734574314029,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
8,113377.25943969257,107111.49166772551,72978.66335884521,6424.160209758297,69707.7149718559,6106.583676175748,0.05526476652313106,0.08802792369832671,0.0876026947467902,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
9,120550.77005634354,117861.80774217349,78775.99517879004,7514.902263246926,77324.12797007669,7415.449261520997,0.022305641954118327,0.0953958403977138,0.09590084565054091,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
10,113745.41525786227,97533.06173992188,74379.79576422086,7131.673544096534,65327.77345439844,6571.325411213568,0.14253192958315541,0.09588186510626458,0.10059007163011047,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
11,110710.90140805054,78346.47539791455,70146.23928840701,7143.733309745012,52697.99087088819,6068.141539745488,0.292332783840766,0.10184057452279767,0.1151493906971261,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
12,116018.88912121262,92889.83620673393,72435.26095157734,10265.134221122975,59875.977673437315,9099.334345718376,0.19935592462287954,0.14171460261577815,0.15196969969068413,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
13,119172.76393916874,94801.65502869723,77046.59316029538,6327.775950591702,63614.25439659901,5735.079389201189,0.20450233849499067,0.08212921157236334,0.09015399840177647,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
14,118718.91465276956,103836.20915689964,73674.81025049172,11885.598602151986,65888.51826941574,11285.502603929688,0.12536086216252085,0.1613251335394197,0.17128177868234465,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,1998,senate
